ANOS1	ENST00000262648.7
KAL1	ENST00000262648.7
FGFR1	ENST00000447712.6
FGF8	ENST00000320185.6
PROK2	ENST00000295619.3
PROKR2	ENST00000217270.3
CHD7	ENST00000423902.6
WDR11	ENST00000263461.10
FLRT3	ENST00000341420.4
SPRY4	ENST00000344120.4
FGF17	ENST00000359441.3
DUSP6	ENST00000279488.7
SOX10	ENST00000396884.6
SEMA3A	ENST00000265362.8
HS6ST1	ENST00000259241.6
IL17RD	ENST00000296318.11
NSMF	ENST00000265663.11
NELF	ENST00000265663.11
HESX1	ENST00000295934.7
ADAMTS5	ENST00000284987.5
ARID4A	ENST00000355431.7
ARID4B	ENST00000264183.7
CHD2	ENST00000394196.8
DPF3	ENST00000556509.5
EMX1	ENST00000258106.10
FGF7	ENST00000614567.4
KISS1	ENST00000367194.4
KISS1R	ENST00000234371.9
GPR54	ENST00000234371.9
LHB	ENST00000221421.6
RGS5	ENST00000313961.9
SEMA7A	ENST00000261918.8
TACR3	ENST00000304883.2
TRIM2	ENST00000437508.6
