FBN1	ENST00000316623.9
TGFBR1	ENST00000374994.8
TGFBR2	ENST00000295754.9
ADAMTSL4	ENST00000271643.8
COL3A1	ENST00000304636.7
SMAD3	ENST00000327367.8
TGFB2	ENST00000366930.8
TGFB3	ENST00000238682.7
SLC2A10	ENST00000359271.3
FBN2	ENST00000262464.8
BGN	ENST00000331595.8
SKI	ENST00000378536.4
EFEMP2	ENST00000307998.10
NPR3	ENST00000415167.2
FLNA	ENST00000422373.5
COL5A1	ENST00000371817.7
COL5A2	ENST00000374866.7
LTBP2	ENST00000261978.8
COL1A1	ENST00000225964.9
COL1A2	ENST00000297268.10
FBLN5	ENST00000342058.8
ELN	ENST00000358929.8
EMILIN1	ENST00000380320.8
COL4A1	ENST00000375820.8
COL4A2	ENST00000360467.5
MED12	ENST00000374080.7
UPF3B	ENST00000276201.6
ZDHHC9	ENST00000357166.10
ACTA2	ENST00000224784.10
FOXE3	ENST00000335071.3
MYLK	ENST00000360304.7
LOX	ENST00000231004.4
PRKG1	ENST00000373980.8
MFAP5	ENST00000359478.6
MYH11	ENST00000300036.5
MAT2A	ENST00000306434.7
SMAD2	ENST00000262160.10
MIB1	ENST00000261537.6
GATA5	ENST00000252997.2
SMAD6	ENST00000288840.9
NOTCH1	ENST00000277541.6
SMAD4	ENST00000342988.7
CBS	ENST00000398165.7
MMP1	ENST00000315274.6
MMP90	ENST00000372330.3
